CreditorID,Name,Role
1,Benson Boone,Performers
2,Evan Blair,Producers
3,Beyoncé,Performers
4,Brian Bates,Writers
5,Elizabeth Lowell Boland,Writers
6,Megan Bülow,Writers
7,Nate Ferraro,Writers
8,Raphael Saadiq,Writers
9,Killah B,Producers
10,Hit-Boy,Producers
11,Stuart White,Producers
12,Mariel Gomerez,Producers
13,Kanye West,Performers
14,Playboi Carti,Performers
15,Rich The Kid,Performers
16,Ty Dolla $ign,Performers
17,¥$,Performers
18,Ye,Producers
19,Taylor Swift,Performers
20,Jack Antonoff,Producers
21,Tate McRae,Performers
22,Amy Allen,Writers
23,Jasper Harris,Writers
24,Ryan Tedder,Writers
25,Grant Boutin,Producers
26,Xavi,Performers
27,Alex Hernández,Writers
28,Fabio Gutierrez,Writers
29,Joshua Xavier Gutierrez Alonso,Writers
30,Ernesto Fernandez,Producers
31,Teddy Swims,Performers
32,Ammo,Producers
33,Julian Bunetta,Producers
34,JENNIE,Performers
35,Lily-Rose Depp,Performers
36,The Weeknd,Performers
37,MIKE DEAN,Producers
38,Sage Skolfield,Producers
39,Noah Kahan,Performers
40,Gabe Simon,Producers
41,Mitski,Performers
42,Mitski Miyawaki,Writers
43,Patrick Hyland,Producers
44,Djo,Performers
45,Joe Keery,Writers
46,Adam Thein,Producers
47,21 Savage,Performers
48,London On Da Track,Producers
49,AyoPeeb,Producers
50,YG Marley,Performers
51,Bob Marley,Writers
52,Joshua Marley,Writers
53,Ms. Lauryn Hill,Writers
54,Johnny G,Producers
55,ATL Jacob,Performers
56,Feid,Performers
57,Jack Harlow,Performers
58,Nik D,Producers
59,OZ,Producers
60,Sean Momberger,Producers
61,Natasha Bedingfield,Performers
62,Danielle Brisebois,Writers
63,Wayne Rodrigues,Writers
64,SZA,Performers
65,Carter Lang,Producers
66,Rob Bisel,Producers
67,Solomonophonic,Producers
68,Monsune,Producers
69,Arctic Monkeys,Performers
70,John Cooper Clarke,Writers
71,James Ford,Producers
72,Ross Orton,Producers
