TrendingID,TrendingDate,PeakRank,AppearancesOnChart,ConsecutiveAppearancesOnChart
1, 2024-02-29, 1, 6, 6,
2, 2024-02-22, 1, 6, 10,
3, 2024-02-15, 1, 6, 4,
4, 2024-02-08, 1, 6, 3,
5, 2024-02-01, 1, 6, 5,
6, 2024-01-25, 1, 6, 4,
7,2024-02-29,2,3,3,
8,2024-02-22,2,3,3,
9,2024-02-15,2,3,3,
10,2024-02-29,3,3,3,
11,2024-02-22,3,3,3,
12,2024-02-15,3,3,3,
13,2024-02-29,2,56,50,
14,2024-02-22,2,56,50,
15,2024-02-15,2,56,50,
16,2024-02-08,2,56,50,
17,2024-02-01,2,56,50,
18,2024-01-25,2,56,50,
19,2024-01-18,2,56,50,
20,2024-01-11,2,56,50,
21,2024-01-04,2,56,50,
22,2023-12-28,2,56,50,
23,2023-12-21,2,56,50,
24,2023-12-14,2,56,50,
25,2023-12-07,2,56,50,
26,2023-11-30,2,56,50,
27,2023-11-23,2,56,50,
28,2023-11-16,2,56,50,
29,2023-11-09,2,56,50,
30,2023-11-02,2,56,50,
31,2023-10-26,2,56,50,
32,2023-10-19,2,56,50,
33,2023-10-12,2,56,50,
34,2023-10-05,2,56,50,
35,2023-09-28,2,56,50,
36,2023-09-21,2,56,50,
37,2023-09-14,2,56,50,
38,2023-09-07,2,56,50,
39,2023-08-31,2,56,50,
40,2023-08-24,2,56,50,
41,2023-08-17,2,56,50,
42,2023-08-10,2,56,50,
43,2023-08-03,2,56,50,
44,2023-07-27,2,56,50,
45,2023-07-20,2,56,50,
46,2023-07-13,2,56,50,
47,2023-07-06,2,56,50,
48,2023-06-29,2,56,50,
49,2023-06-22,2,56,50,
50,2023-06-15,2,56,50,
51,2023-06-08,2,56,50,
52,2023-06-01,2,56,50,
53,2023-05-25,2,56,50,
54,2023-05-18,2,56,50,
55,2023-05-11,2,56,50,
56,2023-05-04,2,56,50,
57,2023-04-27,2,56,50,
58,2023-04-20,2,56,50,
59,2023-04-13,2,56,50,
60,2023-04-06,2,56,50,
61,2023-03-30,2,56,50,
62,2023-03-23,2,56,50,
63,2022-10-27,2,56,50,
64,2019-09-26,2,56,50,
65,2019-09-19,2,56,50,
66,2019-09-12,2,56,50,
67,2019-09-05,2,56,50,
68,2019-08-29,2,56,50,
69,2024-02-29,1,24,24,
70,2024-02-22,1,24,24,
71,2024-02-15,1,24,24,
72,2024-02-08,1,24,24,
73,2024-02-01,1,24,24,
74,2024-01-25,1,24,24,
75,2024-01-18,1,24,24,
76,2024-01-11,1,24,24,
77,2024-01-04,1,24,24,
78,2023-12-28,1,24,24,
79,2023-12-21,1,24,24,
80,2023-12-14,1,24,24,
81,2023-12-07,1,24,24,
82,2023-11-30,1,24,24,
83,2023-11-23,1,24,24,
84,2023-11-16,1,24,24,
85,2023-11-09,1,24,24,
86,2023-11-02,1,24,24,
87,2023-10-26,1,24,24,
88,2023-10-19,1,24,24,
89,2023-10-12,1,24,24,
90,2023-10-05,1,24,24,
91,2023-09-28,1,24,24,
92,2023-09-21,1,24,24,
93,2024-02-29,1,12,12,
94,2024-02-22,1,12,12,
95,2024-02-15,1,12,12,
96,2024-02-08,1,12,12,
97,2024-02-01,1,12,12,
98,2024-01-25,1,12,12,
99,2024-01-18,1,12,12,
100,2024-01-11,1,12,12,
101,2024-01-04,1,12,12,
102,2023-12-28,1,12,12,
103,2023-12-21,1,12,12,
104,2023-12-14,1,12,12,
105,2024-02-29,7,16,16,
106,2024-02-22,7,16,16,
107,2024-02-15,7,16,16,
108,2024-02-08,7,16,16,
109,2024-02-01,7,16,16,
110,2024-01-25,7,16,16,
111,2024-01-18,7,16,16,
112,2024-01-11,7,16,16,
113,2024-01-04,7,16,16,
114,2023-12-28,7,16,16,
115,2023-12-21,7,16,16,
116,2023-12-14,7,16,16,
117,2023-12-07,7,16,16,
118,2023-11-30,7,16,16,
119,2023-11-23,7,16,16,
120,2023-11-16,7,16,16,
121,2024-02-29,3,21,21,
122,2024-02-22,3,21,21,
123,2024-02-15,3,21,21,
124,2024-02-29,6,21,21,
125,2024-02-22,6,21,21,
126,2024-02-15,6,21,21,
127,2024-02-08,6,21,21,
128,2024-02-01,6,21,21,
129,2024-01-25,6,21,21,
130,2024-01-18,6,21,21,
131,2024-01-11,6,21,21,
132,2024-01-04,6,21,21,
133,2023-12-28,6,21,21,
134,2023-12-21,6,21,21,
135,2023-12-14,6,21,21,
136,2023-12-07,6,21,21,
137,2023-11-30,6,21,21,
138,2023-11-23,6,21,21,
139,2023-11-16,6,21,21,
140,2023-11-09,6,21,21,
141,2023-11-02,6,21,21,
142,2023-10-26,6,21,21,
143,2023-10-19,6,21,21,
144,2023-10-12,6,21,21,
145,2024-02-29,3,23,23,
146,2024-02-22,3,23,23,
147,2024-02-15,3,23,23,
148,2024-02-08,3,23,23,
149,2024-02-01,3,23,23,
150,2024-01-25,3,23,23,
151,2024-01-18,3,23,23,
152,2024-01-11,3,23,23,
153,2024-01-04,3,23,23,
154,2023-12-28,3,23,23,
155,2023-12-21,3,23,23,
156,2023-12-14,3,23,23,
157,2023-12-07,3,23,23,
158,2023-11-30,3,23,23,
159,2023-11-23,3,23,23,
160,2023-11-16,3,23,23,
161,2023-11-09,3,23,23,
162,2023-11-02,3,23,23,
163,2023-10-26,3,23,23,
164,2023-10-19,3,23,23,
165,2023-10-12,3,23,23,
166,2023-10-05,3,23,23,
167,2023-09-28,3,23,23,
168,2024-02-29,11,2,2,
169,2024-02-22,11,2,2,
170,2024-02-29,8,7,7,
171,2024-02-22,8,7,7,
172,2024-02-15,8,7,7,
173,2024-02-08,8,7,7,
174,2024-02-01,8,7,7,
175,2024-01-25,8,7,7,
176,2024-01-18,8,7,7,
177,2024-02-29,13,5,5,
178,2024-02-22,13,5,5,
179,2024-02-15,13,5,5,
180,2024-02-08,13,5,5,
181,2024-02-01,13,5,5,
182,2024-02-29,9,12,12,
183,2024-02-22,9,12,12,
184,2024-02-15,9,12,12,
185,2024-02-08,9,12,12,
186,2024-02-01,9,12,12,
187,2024-01-25,9,12,12,
188,2024-01-18,9,12,12,
189,2024-01-11,9,12,12,
190,2024-01-04,9,12,12,
191,2023-12-28,9,12,12,
192,2023-12-21,9,12,12,
193,2023-12-14,9,12,12,
194,2024-02-29,3,16,16,
195,2024-02-22,3,16,16,
196,2024-02-15,3,16,16,
197,2024-02-08,3,16,16,
198,2024-02-01,3,16,16,
199,2024-01-25,3,16,16,
200,2024-01-18,3,16,16,
201,2024-01-11,3,16,16,
202,2024-01-04,3,16,16,
203,2023-12-28,3,16,16,
204,2023-12-21,3,16,16,
205,2023-12-14,3,16,16,
206,2023-12-07,3,16,16,
207,2023-11-30,3,16,16,
208,2023-11-23,3,16,16,
209,2023-11-16,3,16,16,
210,2024-02-29,16,7,7,
211,2024-02-22,16,7,7,
212,2024-02-15,16,7,7,
213,2024-02-08,16,7,7,
214,2024-02-01,16,7,7,
215,2024-01-25,16,7,7,
216,2024-01-18,16,7,7,
217,2024-02-29,17,1,1,
218,2024-02-29,15,86,86,
219,2024-02-22,15,86,86,
220,2024-02-15,15,86,86,
221,2024-02-08,15,86,86,
222,2024-02-01,15,86,86,
223,2024-01-25,15,86,86,
224,2024-01-18,15,86,86,
225,2024-01-11,15,86,86,
226,2024-01-04,15,86,86,
227,2023-12-28,15,86,86,
228,2023-12-21,15,86,86,
229,2023-12-14,15,86,86,
230,2023-12-07,15,86,86,
231,2023-11-30,15,86,86,
