LogID,TrackID,TrackName,InsertionTimestam
1,1,Beautiful Things,2024-04-03 11:45:25
2,2,"TEXAS HOLD ""EM",2024-04-03 11:45:25
3,3,CARNIVAL,2024-04-03 11:45:25
4,4,Cruel Summer,2024-04-03 11:45:25
5,5,greedy,2024-04-03 11:45:25
6,6,La Diabla,2024-04-03 11:45:25
7,7,Lose Control,2024-04-03 11:45:25
8,8,"One Of The Girls (with JENNIE, Lily Rose Depp)",2024-04-03 11:45:25
9,9,Stick Season,2024-04-03 11:45:25
10,10,My Love Mine All Mine,2024-04-03 11:45:25
11,11,End of Beginning,2024-04-03 11:45:25
12,12,redrum,2024-04-03 11:45:25
13,13,Praise Jah In The Moonlight,2024-04-03 11:45:25
14,14,LUNA,2024-04-03 11:45:25
15,15,Lovin On Me,2024-04-03 11:45:25
16,16,Unwritten,2024-04-03 11:45:25
17,17,Saturn,2024-04-03 11:45:25
18,18,I Wanna Be Yours,2024-04-03 11:45:25
19,19,La Víctima,2024-04-03 11:45:25
20,20,Gata Only,2024-04-03 11:45:25
21,21,Training Season,2024-04-03 11:45:25
22,22,Popular (with Playboi Carti & Madonna),2024-04-03 11:45:25
23,23,Houdini,2024-04-03 11:45:25
24,24,LA FALDA,2024-04-03 11:45:25
25,25,PERRO NEGRO,2024-04-03 11:45:25
26,26,Seven (feat. Latto) (Explicit Ver.),2024-04-03 11:45:25
27,27,"yes, and?",2024-04-03 11:45:25
28,28,The Night We Met,2024-04-03 11:45:25
29,29,QLONA,2024-04-03 11:45:25
30,30,Flowers,2024-04-03 11:45:25
31,31,Strangers,2024-04-03 11:45:25
32,32,vampire,2024-04-03 11:45:25
33,33,Starboy,2024-04-03 11:45:25
34,34,Snooze,2024-04-03 11:45:25
35,35,I Remember Everything (feat. Kacey Musgraves),2024-04-03 11:45:25
36,36,Water,2024-04-03 11:45:25
37,37,Paint The Town Red,2024-04-03 11:45:25
38,38,Riptide,2024-04-03 11:45:25
39,39,Just the Way You Are,2024-04-03 11:45:25
40,40,FE!N (feat. Playboi Carti),2024-04-03 11:45:25
41,41,Standing Next to You - Sped Up - Remix,2024-04-03 11:45:25
42,42,Igual Que Un Ángel (with Peso Pluma),2024-04-03 11:45:25
43,43,BURN,2024-04-03 11:45:25
44,44,CONTIGO (with Tiësto),2024-04-03 11:45:25
45,45,Never Lose Me,2024-04-03 11:45:25
46,46,Daylight,2024-04-03 11:45:25
47,47,BELLAKEO,2024-04-03 11:45:25
48,48,As It Was,2024-04-03 11:45:25
49,49,"What Was I Made For? [From The Motion Picture ""Barbie""]",2024-04-03 11:45:25
50,50,Murder On The Dancefloor,2024-04-03 11:45:25
51,51,FIRST LOVE,2024-04-03 11:45:25
52,52,Feather,2024-04-03 11:45:25
53,53,ONE CALL,2024-04-03 11:45:25
54,54,Que Onda,2024-04-03 11:45:25
55,55,EASY,2024-04-03 11:45:25
56,56,Lover,2024-04-03 11:45:25
57,57,When I Was Your Man,2024-04-03 11:45:25
58,58,Yellow,2024-04-03 11:45:25
59,59,HARLEY QUINN,2024-04-03 11:45:25
60,60,Kill Bill,2024-04-03 11:45:25
61,61,Blinding Lights,2024-04-03 11:45:25
62,62,Rich Baby Daddy (feat. Sexyy Red & SZA),2024-04-03 11:45:25
63,63,Mamichula - con Nicki Nicole,2024-04-03 11:45:25
64,64,Someone You Loved,2024-04-03 11:45:25
65,65,"Young Miko: Bzrp Music Sessions, Vol. 58",2024-04-03 11:45:25
66,66,Anti-Hero,2024-04-03 11:45:25
67,67,Die For You,2024-04-03 11:45:25
68,68,Según Quién,2024-04-03 11:45:25
69,69,Home,2024-04-03 11:45:25
70,70,One Dance,2024-04-03 11:45:25
71,71,Bling-Bang-Bang-Born,2024-04-03 11:45:25
72,72,Dance The Night - From Barbie The Album,2024-04-03 11:45:25
73,73,Like Crazy,2024-04-03 11:45:25
74,74,I KNOW ?,2024-04-03 11:45:25
75,75,Sweater Weather,2024-04-03 11:45:25
76,76,Another Love,2024-04-03 11:45:25
77,77,Breathe,2024-04-03 11:45:25
78,78,Prada,2024-04-03 11:45:25
79,79,Agora Hills,2024-04-03 11:45:25
80,80,Heartless,2024-04-03 11:45:25
81,81,exes,2024-04-03 11:45:25
82,82,Una Foto Remix (feat. Emilia),2024-04-03 11:45:25
83,83,Evergreen,2024-04-03 11:45:25
84,84,Father Stretch My Hands Pt. 1,2024-04-03 11:45:25
85,85,Sunflower - Spider-Man: Into the Spider-Verse,2024-04-03 11:45:25
86,86,Locked out of Heaven,2024-04-03 11:45:25
87,87,Surround Sound (feat. 21 Savage & Baby Tate),2024-04-03 11:45:25
88,88,cardigan,2024-04-03 11:45:25
89,89,Whatever She Wants,2024-04-03 11:45:25
90,90,Pink + White,2024-04-03 11:45:25
91,91,Have You Ever Seen The Rain,2024-04-03 11:45:25
92,92,Every Breath You Take,2024-04-03 11:45:25
93,93,Si No Estás,2024-04-03 11:45:25
94,94,"I""m Good (Blue)",2024-04-03 11:45:25
95,95,"I Ain""t Worried",2024-04-03 11:45:25
96,96,Stargirl Interlude,2024-04-03 11:45:25
97,97,FUK SUMN,2024-04-03 11:45:25
98,98,"Is It Over Now? (Taylor""s Version) (From The Vault)",2024-04-03 11:45:25
99,99,In the End,2024-04-03 11:45:25
100,100,Apocalypse,2024-04-03 11:45:25
101,101,Viva La Vida,2024-04-03 11:45:25
102,102,Ghost,2024-04-03 11:45:25
103,103,Iris,2024-04-03 11:45:25
104,104,AMARGURA,2024-04-03 11:45:25
105,105,See You Again (feat. Kali Uchis),2024-04-03 11:45:25
106,106,Regalo De Dios,2024-04-03 11:45:25
107,107,Counting Stars,2024-04-03 11:45:25
108,108,Love Me Again,2024-04-03 11:45:25
109,109,Whatever,2024-04-03 11:45:25
110,110,Set Fire to the Rain,2024-04-03 11:45:25
111,111,I Love You So,2024-04-03 11:45:25
112,112,Scared To Start,2024-04-03 11:45:25
113,113,Shut up My Moms Calling,2024-04-03 11:45:25
114,114,We Found Love,2024-04-03 11:45:25
115,115,Romantic Homicide,2024-04-03 11:45:25
116,116,Everybody Wants To Rule The World,2024-04-03 11:45:25
117,117,500lbs,2024-04-03 11:45:25
118,118,MY EYES,2024-04-03 11:45:25
119,119,Without Me,2024-04-03 11:45:25
120,120,LALA,2024-04-03 11:45:25
121,121,Don’t Blame Me,2024-04-03 11:45:25
122,122,3D (feat. Jack Harlow),2024-04-03 11:45:25
123,123,Made For Me,2024-04-03 11:45:25
124,124,Nonsense,2024-04-03 11:45:25
125,125,fukumean,2024-04-03 11:45:25
126,126,Poco A Poco,2024-04-03 11:45:25
127,127,Something in the Orange,2024-04-03 11:45:25
128,128,Demons,2024-04-03 11:45:25
129,129,lovely (with Khalid),2024-04-03 11:45:25
130,130,No Role Modelz,2024-04-03 11:45:25
131,131,Lovers Rock,2024-04-03 11:45:25
132,132,Somewhere Only We Know,2024-04-03 11:45:25
133,133,Last Night,2024-04-03 11:45:25
134,134,Smart,2024-04-03 11:45:25
135,135,Alucin,2024-04-03 11:45:25
136,136,La Bachata,2024-04-03 11:45:25
137,137,Save Your Tears,2024-04-03 11:45:25
138,138,IDGAF (feat. Yeat),2024-04-03 11:45:25
139,139,un x100to,2024-04-03 11:45:25
140,140,Columbia,2024-04-03 11:45:25
141,141,"Creepin"" (with The Weeknd & 21 Savage)",2024-04-03 11:45:25
142,142,Love On,2024-04-03 11:45:25
143,143,ANDO,2024-04-03 11:45:25
144,144,Summertime Sadness,2024-04-03 11:45:25
145,145,Mockingbird,2024-04-03 11:45:25
146,146,Flashing Lights,2024-04-03 11:45:25
147,147,Primera Cita,2024-04-03 11:45:25
148,148,"Why""d You Only Call Me When You""re High?",2024-04-03 11:45:25
149,149,august,2024-04-03 11:45:25
150,150,Believer,2024-04-03 11:45:25
151,151,LADY GAGA,2024-04-03 11:45:25
152,152,Calm Down (with Selena Gomez),2024-04-03 11:45:25
153,153,Y LLORO,2024-04-03 11:45:25
154,154,EL AMOR DE SU VIDA,2024-04-03 11:45:25
155,155,STAY (with Justin Bieber),2024-04-03 11:45:25
156,156,CLASSY 101,2024-04-03 11:45:25
157,157,Perfect,2024-04-03 11:45:25
158,158,Fortunate Son,2024-04-03 11:45:25
159,159,Danza Kuduro,2024-04-03 11:45:25
160,160,MI EX TENÍA RAZÓN,2024-04-03 11:45:25
161,161,Heat Waves,2024-04-03 11:45:25
162,162,505,2024-04-03 11:45:25
163,163,MONACO,2024-04-03 11:45:25
164,164,M.A.I,2024-04-03 11:45:25
165,165,All The Stars (with SZA),2024-04-03 11:45:25
166,166,Heather,2024-04-03 11:45:25
167,167,The Hills,2024-04-03 11:45:25
168,168,Night Changes,2024-04-03 11:45:25
169,169,Do I Wanna Know?,2024-04-03 11:45:25
170,170,Cold Heart - PNAU Remix,2024-04-03 11:45:25
171,171,Maps,2024-04-03 11:45:25
172,172,The Scientist,2024-04-03 11:45:25
173,173,DILUVIO,2024-04-03 11:45:25
174,174,Too Many Nights (feat. Don Toliver & with Future),2024-04-03 11:45:25
