TrackID,TrackName,TrackUri,Labels,ReleaseDate,Duration,PlayCount
1,Beautiful Things,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,"Night Street Records, Inc./Warner Records Inc.",2024-01-18,180304,446094020
2,"TEXAS HOLD ""EM",spotify:track:7AYmToZ5y67fBjq4RLFbuq,Parkwood Entertainment/Columbia,2024-02-10,233456,233185258
3,CARNIVAL,spotify:track:3w0w2T288dec0mgeZZqoNN,Ye,2024-02-09,264324,283613742
4,Cruel Summer,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,2019-08-23,178426,1944055542
5,greedy,spotify:track:3rUGC1vUpkDG9CZFHMur1t,RCA Records Label,2023-09-15,131872,1008950731
6,La Diabla,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,Interscope Records,2023-11-30,172264,497784758
7,Lose Control,spotify:track:17phhZDn6oGtzMe56NuWvj,Warner Records,2023-09-15,210688,472699746
8,"One Of The Girls (with JENNIE, Lily Rose Depp)",spotify:track:1VNWdmXSbaNrnWod10WIL0,Universal Republic Records,2024-02-09,244684,677539497
9,Stick Season,spotify:track:0mflMxspEfB0VbI1kyLiAv,Mercury Records/Republic Records,2022-10-14,182346,756155084
10,My Love Mine All Mine,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Dead Oceans,2023-09-15,137773,804143495
11,End of Beginning,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,2022-09-16,159245,311043552
12,redrum,spotify:track:52eIcoLUM25zbQupAZYoFh,"Slaughter Gang, LLC/Epic Records",2024-01-12,270697,286583773
13,Praise Jah In The Moonlight,spotify:track:3h5TiWTqGxjSjFrbruPFH9,YG Marley Music,2023-12-27,263040,198739017
14,LUNA,spotify:track:7bywjHOc0wSjGGbj04XbVi,UMLE - Latino,2023-12-01,196800,389981010
15,Lovin On Me,spotify:track:4xhsWYTOGcal8zt0J161CU,Generation Now/Atlantic,2023-11-10,138411,545320916
16,Unwritten,spotify:track:3U5JVgI2x4rDyHGObzJfNf,Sony Music CG,2004-08-30,259333,800979811
