TrendingID,TrendingDate,PeakRank,AppearancesOnChart,ConsecutiveAppearancesOnChart
1,2024-01-25,1,6,4
2,2024-02-01,1,6,5
3,2024-02-08,1,6,3
4,2024-02-15,1,6,4
5,2024-02-22,1,6,10
6,2024-02-29,1,6,6
7,,2,3,3
8,,3,3,3
9,,2,56,50
10,,1,24,24
11,,1,12,12
12,,7,16,16
13,,3,21,21
14,,6,21,21
15,,3,23,23
16,,11,2,2
17,,8,7,7
18,,13,5,5
19,,9,12,12
20,,3,16,16
21,,16,7,7
22,,17,1,1
23,,15,86,86
24,,8,14,14
25,,20,3,3
26,,15,2,2
27,,12,39,39
28,,6,16,16
29,,24,9,9
30,,4,20,20
31,,1,33,33
32,,1,7,7
33,,28,71,33
34,,5,29,29
35,,1,59,59
36,,4,26,26
37,,1,35,35
38,,1,178,92
39,,27,62,60
40,,20,27,27
41,,12,23,23
42,,1,30,30
43,,30,159,61
44,,39,61,9
45,,5,24,11
46,,1,17,17
47,,11,7,7
48,,21,3,3
49,,28,2,2
50,,25,7,7
51,,5,46,46
52,,10,12,12
53,,1,100,100
54,,3,33,33
55,,13,9,9
56,,41,7,7
57,,34,13,13
58,,51,5,5
59,,16,26,26
60,,55,1,1
61,,2,56,40
62,,38,78,9
63,,36,167,165
64,,11,18,18
65,,1,64,64
66,,1,222,222
67,,28,20,12
68,,37,16,2
69,,4,268,61
70,,12,7,7
71,,1,71,71
72,,12,107,98
73,,17,24,24
74,,68,4,4
75,,12,183,30
76,,57,7,7
77,,5,40,40
78,,15,49,49
79,,14,31,31
80,,19,183,183
81,,15,151,151
82,,77,2,2
83,,17,28,28
84,,16,23,23
85,,76,34,27
86,,26,15,15
87,,58,7,7
88,,83,7,7
89,,78,13,9
90,,1,273,47
91,,39,90,37
92,,34,15,15
93,,1,62,50
94,,89,1,1
95,,69,41,33
96,,91,28,9
97,,77,116,9
98,,1,23,23
99,,2,79,79
100,,7,91,91
101,,92,83,61
102,,17,3,3
103,,1,18,18
104,,22,34,9
105,,81,85,33
106,,57,79,79
107,,11,125,9
108,,93,31,9
109,,53,41,41
110,,16,53,47
111,,106,2,2
112,,86,150,61
113,,11,29,29
114,,92,6,6
115,,61,63,9
116,,21,94,13
117,,112,4,4
118,,82,60,9
119,,59,52,9
120,,17,78,78
121,,91,75,9
122,,89,19,9
123,,15,16,9
124,,31,127,127
125,,1,35,35
126,,71,80,50
127,,3,22,22
128,,123,2,2
129,,17,58,9
130,,9,37,37
131,,69,10,10
132,,57,60,9
133,,111,66,9
134,,24,306,306
135,,76,136,111
136,,100,36,24
137,,80,71,51
138,,14,54,9
139,,134,1,1
140,,60,9,9
141,,4,87,87
142,,2,163,13
143,,5,21,21
144,,1,46,46
145,,7,34,34
146,,2,65,65
147,,142,1,1
148,,99,13,11
149,,83,81,61
150,,24,72,72
151,,121,23,9
152,,21,35,35
153,,95,116,9
154,,11,55,9
155,,16,365,9
156,,9,36,36
157,,9,79,79
158,,55,21,21
159,,47,30,30
160,,1,137,9
161,,8,48,48
